file	replicate	target	read_count
ENCFF867UVJ	1	H3K36me3	572188506
ENCFF837QHG	2	H3K36me3	636980564
ENCFF203MBP	1	H3K9ac	717255788
ENCFF112SRH	2	H3K9ac	780668058
ENCFF395EGN	2	H3K4me1	928770074
ENCFF945WUY	1	H3K4me1	801819316
ENCFF467RWV	2	H3K4me2	564261507
ENCFF477ACN	1	H3K4me2	1213787667
ENCFF380OGG	2	H3K9me3	387910254
ENCFF638EFN	1	H3K9me3	1385063854
ENCFF645GVZ	2	H2AFZ	1332991623
ENCFF185PMC	1	H2AFZ	1564129469
ENCFF833PJA	2	H3K27me3	954529641
ENCFF576BBK	1	H3K27me3	1246942807
ENCFF562XBI	1	H3K36me3	1065825675
ENCFF491XKR	2	H3K36me3	1169638293
ENCFF898DSF	2	H4K20me1	501255028
ENCFF617XPD	1	H4K20me1	349168809
ENCFF286DPW	1	H3K4me3	2475920627
ENCFF185UFB	2	H3K4me3	1294129271
ENCFF847OPB	2	H3K27me3	357475788
ENCFF688FAK	1	H3K27me3	321071295
ENCFF021AMB	1	H3K79me2	556104009
ENCFF317GQP	2	H3K79me2	457196690
